"clf"	"hs"	"mm"
"2018"	0	1	0
"2019"	0	2	0
"2020"	1	0	0
"2021"	0	1	0
"2022"	0	0	1
"2024"	2	1	0
"2026"	1	0	0
"2027"	0	1	0
"2028"	0	1	0
"2029"	0	1	0
"2030"	1	0	0
"2032"	1	0	0
"2037"	0	1	0
"2040"	2	0	0
"2041"	0	0	1
"2042"	1	0	0
"2046"	1	0	0
"2048"	1	1	0
"2050"	3	1	1
"2054"	1	0	0
"2057"	0	1	1
"2058"	1	2	0
"2059"	0	1	1
"2060"	0	1	0
"2064"	1	0	0
"2066"	2	0	0
"2070"	1	1	0
"2071"	0	1	0
"2072"	0	1	0
"2076"	2	0	0
"2078"	1	0	0
"2080"	3	1	0
"2082"	3	1	1
"2085"	0	1	0
"2088"	0	0	1
"2089"	0	1	0
"2090"	0	0	1
"2093"	0	1	2
"2096"	1	0	0
"2097"	0	1	0
"2100"	1	0	0
"2101"	0	2	0
"2102"	2	0	0
"2104"	1	0	0
"2106"	1	0	0
"2107"	0	1	0
"2108"	0	0	1
"2112"	0	1	0
"2113"	0	1	0
"2114"	1	0	0
"2118"	0	1	1
"2120"	4	1	0
"2122"	1	0	0
"2124"	1	1	0
"2126"	1	0	0
"2129"	0	1	0
"2130"	1	0	0
"2132"	2	0	0
"2133"	0	1	0
"2134"	2	0	1
"2136"	0	2	0
"2138"	0	1	0
"2142"	1	0	0
"2143"	0	1	1
"2144"	1	0	0
"2146"	1	0	0
"2147"	0	1	0
"2148"	3	0	1
"2152"	1	0	0
"2154"	1	0	0
"2155"	0	0	1
"2156"	1	0	0
"2161"	0	1	1
"2162"	2	0	0
"2164"	2	0	0
"2168"	1	0	1
"2171"	0	0	1
"2172"	1	1	0
"2174"	1	0	0
"2177"	0	1	0
"2178"	2	0	0
"2180"	0	0	1
"2183"	0	1	0
"2184"	2	0	0
"2187"	0	0	1
"2191"	0	1	0
"2192"	1	0	0
"2194"	1	0	0
"2196"	0	1	0
"2198"	0	0	2
"2200"	1	0	0
"2201"	0	1	0
"2202"	1	0	0
"2203"	0	0	1
"2204"	1	2	0
"2205"	0	1	0
"2206"	0	0	1
"2208"	2	0	0
"2211"	0	1	0
"2212"	1	0	0
"2213"	0	0	1
"2214"	1	0	0
"2216"	1	0	0
"2222"	1	0	1
"2224"	2	0	0
"2226"	0	0	1
"2228"	2	0	0
"2230"	1	1	0
"2232"	1	0	0
"2234"	3	1	0
"2236"	1	1	0
"2237"	0	1	0
"2238"	1	0	0
"2240"	1	0	0
"2242"	0	1	0
"2244"	1	0	0
"2246"	0	1	0
"2250"	1	0	0
"2256"	0	0	1
"2258"	1	0	0
"2259"	0	2	0
"2262"	2	0	0
"2263"	0	1	0
"2264"	2	1	1
"2269"	0	1	0
"2271"	0	1	0
"2272"	3	0	0
"2276"	2	0	0
"2278"	2	0	0
"2282"	1	1	0
"2284"	2	0	0
"2288"	1	0	0
"2292"	1	0	0
"2293"	0	1	0
"2295"	0	1	0
"2298"	1	1	0
"2302"	2	0	0
"2304"	1	0	0
"2306"	1	0	0
"2308"	1	1	0
"2311"	0	1	0
"2312"	1	0	0
"2313"	0	1	0
"2314"	1	1	0
"2316"	1	0	0
"2318"	1	0	0
"2320"	0	1	1
"2322"	1	1	0
"2324"	1	0	0
"2325"	0	1	0
"2333"	0	1	1
"2334"	1	0	1
"2336"	1	0	0
"2338"	1	1	0
"2340"	1	0	0
"2342"	0	1	0
"2345"	0	1	0
"2346"	2	0	0
"2348"	1	0	0
"2349"	0	1	0
"2352"	1	0	0
"2354"	1	0	0
"2358"	0	1	0
"2362"	1	0	0
"2363"	0	0	1
"2364"	1	0	0
"2368"	1	0	0
"2370"	1	0	0
"2372"	2	0	0
"2373"	0	0	1
"2376"	2	0	0
"2382"	1	0	1
"2386"	1	0	1
"2388"	1	0	0
"2390"	3	0	0
"2391"	0	1	0
"2392"	0	1	0
"2393"	0	1	0
"2394"	0	2	0
"2397"	0	1	1
"2398"	1	0	0
"2402"	0	1	2
"2408"	1	1	0
"2409"	0	1	0
"2410"	0	0	1
"2418"	1	0	0
"2422"	2	0	0
"2423"	0	1	0
"2424"	1	0	0
"2426"	1	0	0
"2428"	1	0	0
"2430"	2	0	0
"2436"	1	1	1
"2437"	0	0	1
"2438"	1	0	0
"2440"	1	0	0
"2444"	3	0	0
"2447"	0	1	0
"2448"	0	2	0
"2450"	0	1	0
"2452"	2	0	0
"2454"	1	0	0
"2460"	0	0	1
"2466"	1	0	0
"2468"	1	0	0
"2473"	0	1	0
"2474"	0	0	1
"2476"	3	0	0
"2482"	1	0	0
"2484"	0	0	1
"2486"	1	1	0
"2487"	0	1	0
"2490"	1	0	0
"2491"	0	1	0
"2492"	0	1	0
"2494"	1	0	0
"2498"	1	1	0
"2500"	1	0	0
"2502"	1	0	0
"2504"	1	0	0
"2506"	0	2	0
"2510"	1	0	0
"2515"	0	1	0
"2516"	1	1	0
"2519"	0	1	0
"2524"	1	0	0
"2526"	2	0	0
"2528"	0	1	0
"2531"	0	1	0
"2532"	0	1	0
"2534"	1	0	0
"2535"	0	1	0
"2536"	2	1	0
"2538"	1	0	0
"2544"	0	1	0
"2546"	1	0	0
"2547"	0	0	1
"2548"	1	0	0
"2549"	0	0	1
"2551"	0	1	0
"2554"	1	0	0
"2558"	1	0	1
"2560"	2	0	0
"2562"	1	0	0
"2564"	1	0	1
"2566"	1	0	0
"2567"	0	0	1
"2570"	1	0	0
"2574"	2	1	0
"2576"	0	1	0
"2577"	0	1	0
"2580"	2	0	0
"2582"	1	0	0
"2583"	0	1	0
"2584"	1	0	1
"2586"	0	1	1
"2594"	3	0	0
"2595"	0	1	0
"2602"	2	0	0
"2608"	1	0	0
"2610"	1	2	0
"2614"	2	1	0
"2618"	1	0	0
"2620"	2	0	1
"2622"	1	0	0
"2623"	0	0	1
"2626"	1	0	0
"2628"	1	0	0
"2629"	0	1	0
"2633"	0	1	0
"2636"	2	0	0
"2638"	1	1	0
"2642"	1	0	0
"2643"	0	1	0
"2647"	0	1	0
"2650"	2	0	0
"2656"	1	0	0
"2660"	0	0	1
"2662"	0	1	0
"2668"	0	1	0
"2672"	1	0	0
"2680"	1	0	0
"2682"	1	0	0
"2686"	0	1	0
"2688"	1	0	0
"2696"	1	0	0
"2698"	1	0	0
"2702"	0	1	0
"2704"	1	0	0
"2706"	1	0	0
"2712"	1	0	0
"2716"	1	0	0
"2718"	2	0	0
"2721"	0	1	0
"2723"	0	1	0
"2728"	1	0	0
"2732"	0	1	0
"2736"	0	1	0
"2737"	0	1	0
"2739"	0	1	0
"2742"	1	0	0
"2748"	1	0	0
"2752"	1	0	0
"2763"	0	1	0
"2764"	1	0	0
"2768"	1	0	0
"2769"	0	1	0
"2775"	0	0	1
"2778"	0	0	1
"2780"	1	0	0
"2793"	0	1	0
"2800"	1	0	0
"2802"	1	0	0
"2810"	1	0	0
"2812"	0	1	0
"2816"	1	0	0
"2822"	1	0	0
"2830"	3	0	0
"2831"	0	0	1
"2832"	1	1	0
"2838"	0	1	0
"2840"	1	0	1
"2843"	0	1	0
"2844"	1	0	0
"2847"	0	1	0
"2850"	0	1	0
"2852"	0	0	1
"2854"	1	0	0
"2856"	1	0	0
"2862"	1	0	0
"2864"	2	0	0
"2868"	1	0	0
"2870"	1	0	0
"2874"	1	0	1
"2884"	1	0	0
"2886"	0	0	1
"2890"	1	0	0
"2892"	1	0	0
"2898"	1	0	0
"2900"	1	0	0
"2904"	0	1	0
"2906"	1	0	0
"2908"	0	1	0
"2910"	4	0	0
"2922"	1	0	0
"2933"	0	0	1
"2940"	0	1	0
"2944"	1	0	1
"2949"	0	1	0
"2958"	2	0	0
"2964"	1	0	0
"2966"	1	0	0
"2984"	1	1	0
"2986"	1	0	0
"2987"	0	1	0
"2990"	1	0	0
"2992"	1	0	0
"2997"	0	1	0
"2998"	1	0	1
"3002"	1	0	0
"3014"	1	1	0
"3016"	1	0	0
"3020"	0	1	0
"3032"	1	0	0
"3036"	1	0	0
"3037"	0	1	1
"3040"	1	0	0
"3042"	0	1	0
"3046"	1	0	0
"3048"	1	0	0
"3058"	1	0	0
"3062"	1	0	0
"3064"	0	1	0
"3065"	0	1	0
"3066"	2	0	0
"3072"	1	0	0
"3078"	1	0	0
"3084"	2	1	0
"3086"	2	0	0
"3087"	0	1	0
"3088"	1	0	0
"3091"	0	1	0
"3092"	1	0	0
"3101"	0	0	1
"3102"	1	1	0
"3104"	1	0	0
"3105"	0	1	0
"3106"	2	0	0
"3108"	1	0	0
"3114"	1	0	0
"3119"	0	0	1
"3130"	1	0	1
"3133"	0	0	1
"3140"	1	0	0
"3142"	0	1	0
"3143"	0	1	0
"3150"	1	0	1
"3161"	0	0	1
"3164"	0	1	0
"3166"	1	0	0
"3176"	1	0	0
"3180"	1	0	0
"3187"	0	0	1
"3188"	1	0	0
"3190"	1	0	0
"3192"	1	0	0
"3194"	2	0	0
"3195"	0	2	0
"3198"	1	0	0
"3210"	0	1	0
"3214"	1	0	0
"3223"	0	1	0
"3224"	1	0	0
"3226"	1	0	0
"3227"	0	1	0
"3234"	1	0	0
"3236"	0	1	0
"3241"	0	1	0
"3254"	1	0	0
"3256"	1	0	0
"3262"	1	0	0
"3268"	0	1	0
"3270"	1	0	0
"3272"	1	0	0
"3276"	1	0	0
"3278"	1	0	0
"3290"	1	0	0
"3294"	0	0	1
"3298"	1	0	0
"3299"	0	1	0
"3302"	2	0	0
"3304"	1	0	0
"3310"	1	0	0
"3313"	0	1	0
"3316"	0	0	1
"3320"	1	0	0
"3322"	1	0	0
"3324"	2	0	0
"3328"	0	1	0
"3329"	0	0	1
"3332"	0	1	0
"3340"	2	0	0
"3345"	0	0	1
"3358"	0	1	0
"3362"	1	0	0
"3364"	2	0	0
"3365"	0	1	0
"3367"	0	0	1
"3374"	1	0	0
"3376"	1	0	0
"3378"	3	0	0
"3380"	2	0	0
"3382"	2	0	0
"3384"	1	0	0
"3386"	1	0	0
"3390"	1	0	0
"3398"	1	0	0
"3399"	0	1	0
"3408"	1	0	0
"3410"	1	0	0
"3412"	1	0	0
"3414"	1	0	0
"3417"	0	0	1
"3422"	0	0	1
"3427"	0	0	1
"3428"	0	0	1
"3434"	0	1	0
"3436"	1	0	0
"3439"	0	0	1
"3444"	1	0	0
"3446"	1	0	0
"3448"	0	1	0
"3452"	1	1	0
"3454"	2	0	0
"3456"	1	0	0
"3457"	0	1	0
"3460"	1	0	0
"3464"	1	0	0
"3468"	1	0	0
"3476"	1	0	0
"3490"	1	0	0
"3494"	1	0	0
"3496"	1	0	0
"3514"	0	1	0
"3516"	0	1	0
"3546"	0	1	0
"3547"	0	1	0
"3550"	1	0	0
"3558"	2	0	0
"3564"	1	0	0
"3581"	0	1	0
"3588"	1	0	0
"3589"	0	0	1
"3593"	0	0	1
"3596"	0	0	1
"3604"	0	1	0
"3612"	0	1	0
"3618"	1	0	0
"3620"	1	0	0
"3628"	1	0	0
"3634"	1	0	0
"3656"	0	0	1
"3657"	0	1	0
"3658"	1	0	0
"3670"	1	0	0
"3680"	0	1	0
"3692"	1	0	0
"3696"	1	0	0
"3697"	0	0	1
"3708"	1	0	0
"3716"	1	0	0
"3717"	0	1	0
"3724"	2	0	1
"3726"	1	0	0
"3730"	1	0	0
"3731"	0	1	0
"3734"	1	0	0
"3738"	1	0	0
"3739"	0	1	0
"3742"	1	0	0
"3745"	0	1	0
"3753"	0	1	0
"3754"	1	0	0
"3762"	0	1	0
"3767"	0	0	1
"3772"	2	0	1
"3774"	1	0	0
"3778"	1	0	0
"3784"	1	0	0
"3786"	1	0	0
"3792"	1	0	0
"3799"	0	0	1
"3803"	0	1	0
"3815"	0	0	1
"3823"	0	0	1
"3824"	0	0	1
"3836"	1	0	0
"3839"	0	1	0
"3848"	1	0	0
"3856"	0	1	0
"3860"	1	0	0
"3862"	1	0	0
"3872"	1	0	0
"3876"	1	0	0
"3878"	2	0	0
"3900"	1	0	0
"3926"	1	1	0
"3930"	1	0	0
"3934"	1	0	0
"3936"	1	0	0
"3939"	0	1	0
"3947"	0	1	0
"3948"	0	1	0
"3968"	0	1	0
"3982"	0	1	0
"3990"	1	0	0
"3995"	0	0	1
"3996"	0	1	0
"4006"	1	0	0
"4024"	0	1	0
"4032"	0	1	0
"4044"	1	0	0
"4046"	0	1	0
"4049"	0	1	0
"4057"	0	1	0
"4074"	0	1	0
"4075"	0	0	1
"4082"	1	0	0
"4100"	1	0	0
"4114"	1	0	0
"4116"	0	1	0
"4118"	1	0	0
"4164"	1	0	0
"4176"	1	0	0
"4180"	1	0	0
"4186"	2	0	0
"4216"	1	0	0
"4236"	1	0	0
"4253"	0	1	0
"4260"	0	0	1
"4268"	1	0	0
"4274"	0	1	0
"4281"	0	1	0
"4286"	1	1	0
"4296"	1	0	0
"4300"	0	1	0
"4307"	0	0	1
"4310"	1	0	0
"4322"	1	0	0
"4336"	1	0	0
"4339"	0	0	1
"4342"	1	0	0
"4360"	1	0	0
"4374"	1	0	0
"4396"	2	0	0
"4399"	0	1	0
"4406"	1	0	0
"4412"	1	0	0
"4419"	0	1	0
"4422"	0	1	0
"4426"	1	0	0
"4444"	1	0	0
"4452"	1	0	0
"4466"	0	0	1
"4468"	0	0	1
"4470"	0	0	1
"4486"	0	0	1
"4496"	0	0	1
"4512"	1	0	0
"4515"	0	0	1
"4521"	0	1	0
"4528"	1	0	0
"4542"	0	0	1
"4574"	0	1	0
"4640"	1	0	0
"4646"	0	1	0
"4651"	0	0	1
"4659"	0	0	1
"4666"	1	0	0
"4668"	1	0	0
"4720"	0	1	0
"4726"	1	0	0
"4733"	0	1	0
"4746"	1	0	0
"4759"	0	1	0
"4764"	1	0	0
"4772"	1	0	0
"4782"	0	0	1
"4794"	1	0	0
"4804"	2	0	0
"4820"	1	0	0
"4822"	0	0	1
"4857"	0	0	1
"4872"	1	0	0
"4874"	1	0	0
"4920"	1	0	0
"4941"	0	1	0
"4948"	1	0	0
"4968"	1	0	0
"4974"	0	1	0
"5094"	1	0	0
"5098"	1	0	0
"5103"	0	1	0
"5116"	1	0	0
"5127"	0	0	1
"5128"	1	0	0
"5134"	1	0	0
"5168"	1	0	0
"5172"	1	0	0
"5240"	1	0	0
"5246"	1	0	0
"5289"	0	0	1
"5318"	0	1	0
"5320"	1	0	0
"5345"	0	1	0
"5380"	0	0	1
"5417"	0	1	0
"5448"	0	1	0
"5541"	0	1	0
"5550"	1	0	0
"5556"	1	0	0
"5662"	1	0	0
"5680"	1	0	0
"5694"	0	1	0
"5704"	1	0	0
"5748"	1	0	0
"5749"	0	0	1
"5772"	1	0	0
"5821"	0	1	0
"5866"	1	0	0
"5888"	1	0	0
"5996"	1	0	0
"6052"	0	1	0
"6074"	1	0	0
"6100"	0	1	0
"6200"	0	1	0
"6202"	1	0	0
"6238"	1	0	0
"6260"	1	1	0
"6266"	1	0	0
"6300"	1	0	0
"6322"	1	0	0
"6329"	0	1	0
"6374"	1	0	0
"6588"	1	0	0
"6632"	1	0	0
"6658"	1	0	0
"6690"	1	0	0
"6734"	1	0	0
"6774"	0	0	1
"6778"	0	1	0
"6783"	0	0	1
"6834"	1	0	0
"6844"	1	0	0
"6854"	1	0	0
"6856"	1	0	0
"6863"	0	1	0
"6878"	1	0	0
"6977"	0	0	1
"7023"	0	1	0
"7058"	0	0	1
"7178"	1	0	0
"7186"	1	0	0
"7192"	1	0	0
"7210"	0	1	0
"7312"	1	0	0
"7332"	0	0	1
"7378"	0	0	1
"7394"	1	0	0
"7395"	0	1	0
"7448"	1	0	0
"7534"	1	0	0
"7544"	1	0	0
"7563"	0	1	0
"7598"	1	0	0
"7630"	1	0	0
"7646"	1	0	0
"7648"	1	0	0
"7726"	0	0	1
"7975"	0	0	1
"7990"	1	0	0
"7995"	0	0	1
"8150"	1	0	0
"8172"	0	0	1
"8252"	0	0	1
"8254"	0	1	0
"8269"	0	0	1
"8284"	0	1	0
"8302"	0	1	0
"8461"	0	0	1
"8481"	0	0	1
"8505"	0	0	1
"8520"	1	0	0
"8614"	1	0	0
"8617"	0	0	1
"8678"	1	0	0
"8736"	0	1	0
"8763"	0	1	0
"8765"	0	1	0
"8776"	0	1	0
"8901"	0	0	1
"8932"	1	0	0
"8936"	1	0	0
"8940"	1	0	0
"8972"	1	0	0
"8992"	1	0	0
"9030"	1	0	0
"9084"	1	0	0
"9192"	0	1	0
"9302"	1	0	0
"9318"	1	0	0
"9564"	1	0	0
"9570"	0	1	0
"9644"	1	0	0
"9714"	1	0	0
"9757"	0	0	1
"9888"	0	1	0
"9898"	0	0	1
"9986"	0	0	1
"10010"	0	0	1
"10254"	1	0	0
"10423"	0	0	1
"10578"	1	0	0
"10619"	0	0	1
"10760"	1	0	0
"11312"	0	1	0
"11338"	0	0	1
"11389"	0	0	1
"11489"	0	0	1
"11498"	1	0	0
"11571"	0	0	1
"11589"	0	0	1
"11615"	0	1	0
"11663"	0	0	1
"11886"	0	0	1
"12094"	0	0	1
"12134"	0	0	1
"13548"	1	0	0
"13566"	1	0	0
"13951"	0	0	1
"13954"	1	0	0
"14116"	1	0	0
"14284"	0	0	1
"14580"	0	1	0
"14664"	1	0	0
"14756"	1	0	0
"14955"	0	0	1
"14986"	0	0	1
"15142"	0	1	0
"15452"	1	0	0
"15950"	1	0	0
"15990"	1	0	0
"16093"	0	1	0
"16344"	1	0	0
"16504"	1	0	0
"16538"	1	0	0
"16922"	1	0	0
"16962"	1	0	0
"17010"	1	0	0
"17234"	1	0	0
"17802"	1	0	0
"18673"	0	1	0
"19514"	1	0	0
"19796"	1	0	0
"19972"	1	0	0
"20020"	1	0	0
"20846"	1	0	0
"21238"	1	0	0
"22676"	1	0	0
"22778"	1	0	0
"22978"	1	0	0
"23142"	1	0	0
"23178"	1	0	0
"23326"	1	0	0
"23772"	1	0	0
"24188"	1	0	0
"24268"	1	0	0
"27902"	1	0	0
"28568"	1	0	0
"29910"	1	0	0
"29972"	1	0	0
